Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037101110,1244,2319,19.4,5.863903051,68938
6037101122,304,2175,27.2,5.963173765,120490
6037101210,2434,2078,16.6,5.623311627,54481
6037101220,509,1370,19.8,5.687385643,51880
6037101300,365,3116,31,5.687330574,90933
6037101400,739,2379,27.7,5.812804255,75420
6037102103,322,1238,38.1,5.901084656,76097
6037102104,454,2092,43.9,5.859435399,90206
6037102105,1088,381,16.1,5.79375437,67755
6037102107,833,1866,28.7,5.869520332,80267
6037103101,607,1501,25.2,6.041862053,85899
6037103102,988,2460,23.3,5.813826043,82727
6037103200,1914,2815,24.1,5.94791728,65495
6037103300,299,2340,41.8,5.776625734,119199
6037103400,1149,3580,26.5,5.816455421,83546
6037104103,2287,216,12.7,5.979344983,79120
6037104105,3452,346,16.4,5.751513415,50707
6037104108,2935,187,13.5,5.840157361,50046
6037104124,1872,1163,30.3,5.776091302,87977
6037104203,3089,23,5,5.765700261,53390
6037104204,1907,357,10.5,5.807784269,61841
6037104310,3644,46,4.5,5.775798461,61990
6037104320,3955,88,7,5.782129773,54603
6037104401,2740,51,5.9,5.980282707,65966
6037104403,2263,80,11,5.722385092,53997
6037104404,1870,35,3.5,5.722627134,53976
6037104500,2356,25,3.5,5.677915858,56627
6037104610,2506,41,3.6,5.892717554,50373
6037104620,2584,35,3.5,5.909456349,56400
6037104701,2507,8,6.8,5.715044325,34563
6037104703,1380,56,12,5.886849291,46909
6037104704,2438,199,14.4,6.136376438,57089
6037104810,4255,179,5.8,5.738275082,70914
6037104821,2192,169,10.4,5.66213464,61894
6037104822,1681,51,8.2,5.911226403,54468
6037106010,1604,473,22.2,5.883899807,77531
6037106020,3962,780,16.5,5.808010144,79297
6037106111,2561,924,24.3,5.868411399,88526
6037106112,3192,887,23.2,5.882206164,81254
6037106113,1994,454,22.1,5.887201072,79339
6037106114,3642,352,15.3,5.688010101,56271
6037106403,2510,264,5.6,5.799261806,64307
6037106405,2080,399,10.4,5.845463588,52222
6037106406,2661,1082,23.2,5.889700117,79694
6037106407,1334,499,11.7,5.930472914,46823
6037106408,2419,106,9.5,5.807031291,49042
6037106510,2719,899,28.5,5.855457048,85267
6037106520,3859,675,8.3,5.730317269,69709
6037106603,400,1541,54,5.805882884,110498
6037106604,2868,415,12.2,5.844219054,63183
6037106641,188,1179,58.6,5.936354326,142582
6037106642,681,1694,35.3,5.804299019,115026
6037106643,428,2293,54.8,5.891875787,154009
6037106645,263,2053,58.4,5.915667179,121351
6037106646,982,1561,30.6,5.797595604,97790
6037106648,2752,95,7.6,5.76268759,54831
6037106649,1218,256,30.9,5.93265073,92970
6037107010,2372,114,8.9,5.81120496,64751
6037107020,3886,215,16.8,5.877179411,86543
6037108101,318,1226,53,5.901752023,146470
6037108102,274,1762,58.8,5.819565179,107021
6037108103,290,1838,67.1,5.856912225,159004
6037108104,131,1014,62.7,5.972399724,130847
6037108201,271,1835,61.1,5.910561691,135782
6037108202,623,2027,52.5,5.985172837,134893
6037109100,1265,678,19.1,5.874221213,85316
6037109200,724,992,36.6,5.718798251,95132
6037109300,1254,851,26.7,5.803502254,88408
6037109400,2193,457,17.1,5.742775821,72691
6037109500,3178,203,11.5,5.849729363,60941
6037109601,2751,656,21.3,5.738122612,83168
6037109603,2245,817,19.8,5.785257051,66690
6037109604,1758,529,16,5.755370547,70897
6037109700,1672,1265,29,5.839894279,85913
6037109800,2263,1213,22,6.027395849,95759
6037111100,926,1129,28,5.782066161,95180
6037111201,833,1557,35.7,5.807704398,93372
6037111202,1240,2187,35.9,5.896026475,83723
6037111204,733,3114,57.5,5.84637223,147513
6037111205,734,980,41,5.730252408,89954
6037111206,705,2211,47.7,5.900651917,124534
6037111301,2365,2543,30.1,5.758949548,63281
6037111302,869,2345,45.4,5.794357597,86827
6037111400,2287,2444,32.9,5.748264632,86256
6037113101,595,2059,45.8,5.858726465,115659
6037113102,344,1719,49,5.7717872,154307
6037113211,439,2174,48.7,5.810290041,129217
6037113212,644,1362,46.4,5.820263784,94169
6037113213,1064,1907,35.2,5.692609548,90011
6037113231,224,1197,47.2,6.004005539,104828
6037113232,621,2185,39.4,5.937159505,122302
6037113233,3626,1377,14.8,5.7155529,49497
6037113234,1548,997,22.3,5.777561876,58009
6037113235,252,981,29,5.819717688,73193
6037113237,861,1904,36.1,5.794160314,125856
6037113301,441,1245,43.4,5.828624375,103602
6037113303,1010,1735,31.5,5.8680424,98305
6037113321,1450,1628,39.7,5.810785766,60850
6037113322,615,2129,42.5,5.738191689,110754
6037113401,1925,1772,30.8,5.911417309,81042
6037113421,2736,1387,16.5,5.70097015,64640
6037113422,2375,1500,26.9,5.684454894,72987
6037115101,783,2678,49.5,5.82250279,142894
6037115103,1109,1052,47.1,5.802021671,81828
6037115104,1096,1231,50.1,5.809748297,69928
6037115201,1744,2624,38,5.906527794,60228
6037115202,981,2013,38.6,5.871357249,67820
6037115301,605,1957,45.4,5.900684002,81417
6037115302,2242,481,15.6,5.762304637,64707
6037115401,1870,1882,31.3,5.748253071,76154
6037115403,1395,699,24,5.894074759,58970
6037115404,1126,635,22.5,5.850511198,70814
6037117101,2026,343,32.8,5.998172118,87450
6037117102,1339,599,21.1,5.869394968,79814
6037117201,2211,696,20.6,5.804415987,56866
6037117202,688,655,32,5.832721402,103592
6037117301,920,1467,39.3,5.805783302,93622
6037117302,826,2018,41.2,5.841017064,104346
6037117303,1295,1207,24.8,5.857135106,88645
6037117404,1604,1335,24,5.916467023,84607
6037117405,2518,143,7.6,5.820523285,40899
6037117407,2462,48,2.5,5.939776076,31796
6037117408,1875,147,8.8,5.851884053,41860
6037117510,2420,154,4.5,5.827603121,46618
6037117520,2375,128,11,5.663219857,49504
6037117530,3553,252,14.2,5.867535164,49909
6037119001,2076,361,19.3,6.051725469,77024
6037119002,4616,491,9.7,5.871885444,71405
