price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
21978.0,2016.0,ford,like new,6 cylinders,gas,80813.0,automatic,SUV,black,138,2.472285505553684,0.05903055319365112,b
4185.0,2008.0,ford,good,8 cylinders,gas,201800.0,automatic,SUV,white,415,2.28524516515214,0.046327749450956884,c
7693.0,2002.0,ford,excellent,6 cylinders,gas,145000.0,automatic,pickup,white,535,1.8614609650274765,0.15855367330915604,b
15778.0,2016.0,ford,excellent,4 cylinders,gas,50103.0,automatic,sedan,white,3435,2.33167059585725,0.21366493392289296,c
10520.0,2005.0,ford,good,8 cylinders,gas,207663.0,automatic,truck,white,1212,2.0610821542620767,0.3887236250232774,b
35893.0,2017.0,ford,good,6 cylinders,gas,17916.0,automatic,pickup,red,4991,2.17329025020235,0.10639098763859683,a
31234.0,2011.0,ford,excellent,8 cylinders,gas,11757.0,automatic,truck,blue,677,2.1723186483284174,-0.04595140630723316,b
2936.0,2004.0,ford,good,6 cylinders,gas,,automatic,truck,red,209,2.0705610407668225,0.06800195917558033,b
5905.0,2006.0,subaru,excellent,4 cylinders,gas,165840.0,automatic,sedan,white,813,2.11995871727682,0.08896219148584639,b
45662.0,2014.0,ford,excellent,8 cylinders,gas,20000.0,automatic,truck,red,306,2.2605859860158377,0.09418886230925554,b
36528.0,2016.0,ford,good,8 cylinders,gas,18175.0,automatic,pickup,red,5060,2.375326305432112,0.07466562058753996,c
22720.0,2013.0,ford,good,6 cylinders,gas,218927.0,automatic,truck,black,894,2.2163889286575102,0.09627456091292692,b
6039.0,2010.0,ford,good,6 cylinders,gas,170000.0,automatic,SUV,black,438,2.2733427681297558,-0.028285369990614095,a
3704.0,2010.0,subaru,good,4 cylinders,gas,236000.0,automatic,sedan,blue,285,2.2269798712880107,-0.03213432176378045,b
3659.0,2006.0,subaru,good,4 cylinders,gas,217000.0,automatic,pickup,black,240,2.166081020743115,0.14360450641727535,b
2216.0,1990.0,ford,fair,4 cylinders,gas,15000.0,manual,pickup,blue,52,1.7900634123096397,0.18007566773845934,b
10969.0,2009.0,subaru,excellent,4 cylinders,gas,131000.0,automatic,SUV,silver,383,2.2083017132546323,0.24632963514742304,a
6450.0,1994.0,ford,excellent,6 cylinders,gas,159000.0,manual,pickup,red,554,1.949820399447321,0.2900117763454838,c
5600.0,2007.0,ford,excellent,4 cylinders,gas,118435.0,automatic,SUV,blue,1913,2.1141916097604563,0.27519395228642074,a
42348.0,2016.0,ford,good,6 cylinders,gas,51615.0,automatic,truck,red,1548,2.226123630000688,0.11735607325135343,c
25536.0,2012.0,ford,like new,8 cylinders,gas,99602.0,automatic,truck,black,359,2.2734414148590667,0.2370966510523413,b
3877.0,2007.0,ford,good,4 cylinders,gas,162700.0,automatic,sedan,red,76,2.117620358105127,0.35096373459558994,a
19385.0,2015.0,ford,good,6 cylinders,gas,99717.0,automatic,SUV,black,3212,2.1696584835921806,0.11123725134042006,a
7033.0,2014.0,ford,excellent,4 cylinders,gas,168000.0,automatic,sedan,blue,331,2.4390373074889617,0.03883677325395984,b
6048.0,2008.0,ford,excellent,6 cylinders,gas,135000.0,automatic,SUV,black,337,2.1997757151425192,-0.024542732837773782,c
7629.0,2010.0,ford,excellent,4 cylinders,gas,115000.0,automatic,SUV,white,2962,2.3329494679086333,0.1901426788787147,a
32625.0,2011.0,ford,good,8 cylinders,gas,35499.0,automatic,truck,blue,4073,2.3656491046013994,0.07441472623219282,a
0.0,2018.0,ford,excellent,6 cylinders,gas,103812.0,automatic,truck,white,4308,2.477192521595649,0.2296223987148231,c
800.0,2017.0,ford,excellent,4 cylinders,gas,30522.0,automatic,sedan,silver,7430,2.3532786859050314,0.13267279767047846,b
12540.0,2013.0,ford,excellent,4 cylinders,gas,129429.0,automatic,SUV,silver,1185,2.4052389949096886,0.09043842714270343,c
11164.0,2013.0,ford,excellent,4 cylinders,gas,73011.0,automatic,sedan,red,3014,2.31344968522568,0.01568097014162009,a
500.0,2004.0,ford,excellent,6 cylinders,gas,187000.0,automatic,truck,white,84,2.115369413555388,0.15966695251354093,a
33181.0,2018.0,ford,good,8 cylinders,gas,21585.0,automatic,pickup,white,4942,2.316562173550255,0.054550265040659546,a
1857.0,1980.0,ford,fair,6 cylinders,gas,,manual,pickup,black,650,1.4704207869240244,0.08401236756114445,b
28736.0,2018.0,ford,excellent,6 cylinders,gas,37990.0,automatic,SUV,red,352,2.4134089192020696,0.1769699984025757,a
1538.0,2009.0,ford,good,8 cylinders,gas,102000.0,automatic,sedan,blue,909,2.1261307084363823,0.0384929477816797,a
17087.0,2013.0,ford,excellent,6 cylinders,gas,8000.0,automatic,sedan,black,2629,2.2783080276724283,-0.08949701765827364,b
3748.0,2009.0,ford,excellent,4 cylinders,gas,115157.0,automatic,sedan,red,672,2.2916534794148644,-0.06237653255197656,c
3883.0,2005.0,ford,like new,8 cylinders,gas,151500.0,automatic,sedan,silver,963,2.139053726663504,0.0276169359759917,b
801.0,2006.0,ford,excellent,8 cylinders,gas,153360.0,automatic,truck,red,354,2.0815485870454205,-0.029627462581806038,b
12369.0,2016.0,ford,excellent,4 cylinders,gas,129497.0,automatic,sedan,white,6569,2.488484253620961,0.38196224176868576,c
15702.0,2014.0,subaru,excellent,4 cylinders,gas,63.0,automatic,SUV,blue,947,2.2066438850709216,0.2522450692173901,b
7539.0,2012.0,ford,excellent,4 cylinders,gas,105031.0,automatic,sedan,white,6875,2.171463981016152,0.08294603946412854,a
5388.0,2013.0,ford,excellent,6 cylinders,gas,167000.0,automatic,sedan,blue,998,2.131222386647339,-0.020311999870382097,c
20056.0,2018.0,ford,good,4 cylinders,gas,75344.0,automatic,SUV,silver,929,2.565582342667059,0.2043490134442829,b
4767.0,2012.0,ford,fair,4 cylinders,gas,149000.0,manual,sedan,white,254,2.4727425278423,-0.051735243940265824,a
5536.0,2000.0,ford,excellent,8 cylinders,gas,191908.0,automatic,SUV,black,3633,1.770450390134224,0.2304067459264856,c
6903.0,2004.0,ford,good,8 cylinders,gas,183764.0,automatic,truck,silver,114,2.141514888823924,-0.013658404411746677,c
5735.0,2009.0,subaru,excellent,4 cylinders,gas,123500.0,automatic,SUV,silver,594,2.239885112642876,0.06839300839179671,a
3779.0,2008.0,ford,good,4 cylinders,gas,132900.0,automatic,sedan,red,947,2.3085438715223323,-0.031045847622464512,c
3637.0,2007.0,ford,fair,6 cylinders,gas,130000.0,automatic,sedan,red,1272,2.0556916016801785,0.13470298304898934,b
30848.0,2017.0,ford,good,8 cylinders,gas,94808.0,automatic,truck,black,1401,2.2343194532314268,0.16746503872092772,a
33130.0,2013.0,ford,like new,6 cylinders,gas,103588.0,automatic,pickup,white,1149,2.3486408710033433,0.2018689195327302,b
13551.0,2014.0,ford,excellent,4 cylinders,gas,12166.0,automatic,sedan,silver,1513,2.419820727186724,0.16983741085175286,b
10723.0,2009.0,ford,excellent,6 cylinders,gas,92349.0,automatic,pickup,white,1050,2.353572730962745,0.12827321607120135,b
4205.0,2001.0,ford,good,4 cylinders,gas,165000.0,automatic,truck,red,168,2.061220918684624,-0.012093611872310422,a
21237.0,2012.0,ford,excellent,8 cylinders,gas,150064.0,automatic,truck,white,1333,2.3590083474159784,-0.0761825073281148,c
5514.0,2004.0,ford,excellent,6 cylinders,gas,4200.0,automatic,SUV,red,89,2.221553924729061,0.12233066652998904,b
8235.0,2009.0,ford,excellent,8 cylinders,gas,152793.0,automatic,pickup,white,1362,1.9975498275911863,0.06975833191809536,b
5378.0,2003.0,ford,excellent,8 cylinders,gas,200000.0,automatic,truck,white,725,2.103626569113952,-0.024416530117005245,a
10934.0,2013.0,ford,excellent,6 cylinders,gas,136485.0,automatic,SUV,silver,449,2.2048078829452393,0.12594891388485652,b
7738.0,2005.0,subaru,good,4 cylinders,gas,,automatic,SUV,white,29,2.1458890605984604,0.06820183182587955,b
53571.0,2017.0,ford,excellent,8 cylinders,gas,46600.0,automatic,truck,white,120,2.3371388708449534,0.08319311254679287,a
8891.0,2008.0,ford,excellent,6 cylinders,gas,103676.0,automatic,pickup,white,458,2.1594123476404583,0.11881437766317972,a
500.0,2013.0,ford,excellent,6 cylinders,gas,161721.0,automatic,pickup,white,232,2.2918813651412098,0.2077814196651192,a
9869.0,2014.0,ford,excellent,4 cylinders,gas,118332.0,automatic,SUV,white,3748,2.272349128524528,-0.0031032271351562053,c
