row_number,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
0,2005.0,ford,good,6 cylinders,gas,100963.0,automatic,sedan,red,437,2.06373615278676,0.0063161237019436,b
1,2018.0,ford,excellent,6 cylinders,gas,51473.0,automatic,pickup,black,4160,2.5441610125075296,0.113114348234804,c
2,2013.0,ford,excellent,8 cylinders,gas,170000.0,automatic,truck,white,3836,2.316475636752469,0.0614266032543639,a
3,2016.0,ford,good,4 cylinders,gas,83755.0,automatic,sedan,white,1690,2.3381292673977034,0.0648865848430474,c
4,2011.0,ford,excellent,4 cylinders,gas,61434.0,automatic,sedan,silver,3293,2.2346229794750694,0.2154005535177937,b
5,2013.0,ford,good,4 cylinders,gas,183000.0,manual,sedan,black,125,2.4727625620507894,0.1645307168037948,c
6,2012.0,ford,excellent,6 cylinders,gas,197000.0,automatic,pickup,red,264,2.1690994750376835,0.0478917324601259,b
7,2011.0,ford,excellent,6 cylinders,gas,147083.0,automatic,sedan,black,749,2.329287788531894,0.1480489478667587,a
8,2014.0,ford,good,8 cylinders,gas,179622.0,automatic,truck,white,742,2.2727201309061567,-0.039789346467966,a
9,2015.0,ford,excellent,6 cylinders,gas,128000.0,automatic,pickup,white,452,2.3004278202235136,0.1989913692876454,b
10,2017.0,ford,good,6 cylinders,gas,14695.0,automatic,pickup,blue,4945,2.352968011347522,0.0020498444509768,b
11,1997.0,ford,excellent,8 cylinders,gas,113994.0,automatic,truck,white,670,1.903806124492969,0.128474880707929,a
12,2016.0,ford,excellent,6 cylinders,gas,74131.0,automatic,truck,black,1180,2.285721527414532,0.1935286176652219,a
13,2012.0,ford,good,6 cylinders,gas,55500.0,automatic,SUV,red,279,2.407478542385776,0.1335481283807661,c
14,2001.0,ford,excellent,6 cylinders,gas,92000.0,automatic,sedan,white,214,2.1432103526553665,0.0766868842487216,b
15,2011.0,ford,excellent,6 cylinders,gas,114000.0,automatic,sedan,white,230,2.253134636912072,0.1928562404790141,a
16,2016.0,ford,good,6 cylinders,gas,70215.0,automatic,SUV,black,4240,2.318586480733144,0.1119364326226501,a
17,1960.0,ford,good,6 cylinders,gas,0.0,manual,pickup,blue,475,0.9047525594234984,0.1571866363624667,a
18,2016.0,ford,like new,6 cylinders,gas,111590.0,automatic,truck,red,1382,2.434558819222626,0.0047574621322469,c
19,2008.0,ford,excellent,6 cylinders,gas,143000.0,automatic,SUV,white,71,2.164821198078529,0.1666422175780744,a
20,2010.0,ford,good,4 cylinders,gas,35000.0,automatic,sedan,silver,616,2.192727256870873,0.0855865429820109,a
